ID,店舗名,郵便番号,住所,latitude,longitude,電話番号,営業時間：開店時間,営業時間：閉店時間,Webサイト,Twitter,
1,ラウンドワンスタジアム　豊橋店,441-3147,愛知県豊橋市大岩町字岩田27番地-2（国道１号線沿い）,34.723624,137.432559,0532-65-2212,"月曜日〜木曜日　10:00
金曜日・祝前日　10:00　
土曜日　24時間営業","月曜日〜木曜日 6:00　
金曜日・祝前日 終日　　
日曜日・祝日 6:00",https://www.round1.co.jp/shop/tenpo/aichi-toyohashi.html,https://twitter.com/r1_toyohashi,
2,M's PARK刈谷店,448-0038,愛知県刈谷市稲場町3-206,35.005474,137.001409,0566-27-5822,全日　10:00,全日　24:00,https://msp-kariya.amebaownd.com/pages/1913809/InstallationGames,https://twitter.com/msparkkariya,
3,コムテックプラザ赤池,470-0125,愛知県日進市赤池1-2901,35.120803,137.017758,052-807-2666,"平日　12:00
土休日　10:00","平日　24:00
土休日　24:00",,https://twitter.com/comtechplaza?lang=ja,
4,ラウンドワンスタジアム 半田店,475-0828,愛知県半田市瑞穂町6丁目7番地の8,34.885422,136.941735,0569-25-7351,"月曜日〜木曜日　10:00
金曜日・祝前日　10:00
土曜日 24時間営業","月曜日〜木曜日　2:00
金曜日・祝前日　終日
日曜日・祝日　翌朝2:00",https://www.round1.co.jp/shop/tenpo/aichi-handa.html,https://twitter.com/r1_handa,
5,半田メトロポリス,475-0838,愛知県半田市旭町3-11-1,34.874775,136.92179,0569-24-5226,全日　10:00,全日　23:00,http://www.korona.co.jp/Game/han/index.asp,,
6,Ｍ’ｓ　ＰＡＲＫ　小牧店,485-0082,愛知県小牧市村中字稲荷783番地,35.304255,136.911613,0568-77-8752,全日　9:00,全日　24:00,,https://twitter.com/MsPARK_KOMAKI,
7,namco　テラスウォーク一宮店,491-0022,愛知県一宮市両郷町一丁目2番地,35.310976,136.816542,0586-26-1005,全日　9:00,全日　21:00,https://bandainamco-am.co.jp/game_center/loc/ichinomiya/,,
8,ラウンドワンスタジアム 名古屋西春店,481-0035,愛知県北名古屋市宇福寺神明15番地,35.254848,136.84372,0568-26-4001,"月曜日　8:00
火曜日～木曜日　10:00
金曜日・祝前日　10:00
土曜日　24時間営業","月曜日　6:00
火曜日～木曜日　6:00
金曜日・祝前日　終日
日曜日・祝日　6:00",https://www.round1.co.jp/shop/tenpo/aichi-nagoyanisiharu.html,https://twitter.com/r1_nisiharu,
9,ゲームファンタジアン岡崎店,444-0067,愛知県岡崎市錦町2番地4,34.973636,137.160046,0564-66-0505,全日　9:00,全日　24:00,http://www.fantasian.co.jp/shop5.html,https://twitter.com/Amex_gfo,
10,M's PARK 豊田店,471-0834,愛知県豊田市寿町3丁目21,35.056707,137.140439,0565-71-0027,全日　9:00,全日　24:00,,https://twitter.com/msparktoyota,
